시장명,시장유형,위도,경도,점포수,공중화장실보유여부,주차장보유여부,개설연도
밤고개자연시장(구 내덕자연시장),상설장+5일장,36.66241616,127.4886473,52,Y,Y,1985
의정부청과야채시장,상설장,37.73855067,127.0527096,67,Y,Y,1978
망미삼성상가시장,상설장,35.16942604,129.1028127,25,Y,Y,1992
승주시장,5일장,35.01325231,127.3910765,18,Y,Y,1964
대야전통시장,상설장+5일장,35.9448597,126.816085,53,Y,Y,1965
명산시장,상설장,35.98251878,126.7095107,65,Y,Y,1982
군산신영시장,상설장,35.98561509,126.72012,77,Y,Y,1985
원평공설시장(김제원평시장),상설장+5일장,35.71406357,126.9947325,36,Y,Y,1960
1913송정역시장(송정역전매일시장),상설장,35.13555958,126.7915346,73,Y,Y,1913
우산매일시장,상설장,35.16218922,126.8035258,44,Y,Y,1991
월곡시장,상설장,35.17129717,126.8096437,68,Y,Y,1998
산수시장,상설장,35.15348435,126.929739,80,Y,N,1974
남광주해뜨는시장,상설장,35.13896721,126.9212584,50,Y,Y,1975
남광주시장,상설장,35.13929961,126.9208082,225,Y,Y,1975
두암시장,상설장,35.17157442,126.9293831,27,Y,Y,1981
운암시장,상설장,35.1733763,126.8820026,64,Y,Y,1981
동부시장,상설장,35.1738826,126.9163398,35,Y,Y,1981
중흥시장,상설장,35.1616112,126.9108534,49,N,N,1977
광주양동시장,상설장,35.15390747,126.9025538,115,Y,Y,1969
양동닭전길시장,상설장,35.1528177,126.9039928,157,Y,Y,2005
쌍봉시장,상설장,34.76414545,127.6649804,28,Y,Y,1989
제일시장,상설장,34.76419231,127.6646531,63,Y,Y,1986
진남시장,상설장,34.76425827,127.6641294,118,Y,Y,1984
도깨비시장,상설장,34.76331689,127.6565415,124,Y,Y,1988
굴비골영광시장(구 영광매일시장),상설장,35.27513263,126.5123207,66,Y,Y,1985
영광터미널시장,상설장,35.27553643,126.5030198,91,Y,Y,1993
완도전통시장(구 완도5일시장),상설장+5일장,34.31610369,126.7482543,26,Y,Y,1981
천관산관광시장,상설장+5일장,34.56279797,126.9370792,43,Y,Y,1961
대덕읍전통시장(대덕시장),상설장+5일장,34.49942611,126.8871306,27,Y,Y,1985
정남진장흥토요시장,상설장+5일장,34.67726772,126.9031373,140,Y,Y,1961
진도상설전통시장,상설장,34.48135668,126.2649029,15,Y,Y,1985
함평천지전통시장,상설장+5일장,35.06373037,126.5234259,41,Y,Y,1903
고창전통시장,상설장+5일장,35.43266573,126.6987711,74,Y,Y,1965
